Workout	Exercise	Reps	Weight
Pull	Pull-ups	3	n/a
Pull	Pull-ups	3	n/a
Pull	Pull-ups	3	n/a
Pull	Pull-ups	3	n/a
Pull	Deadlifts	12	60
Pull	Deadlifts	12	60
Pull	Deadlifts	12	65
Pull	Deadlifts	12	70
Pull	Pull downs	12	52
Pull	Pull downs	10	59
Pull	Pull downs	9	59
Pull	Pull downs	6	59
Pull	V-bar Pull Downs	12	52
Pull	V-bar Pull Downs	6	59
Pull	V-bar Pull Downs	7	59
Pull	V-bar Pull Downs	8	59
Pull	Dumbbell Rows	12	52
Pull	Dumbbell Rows	12	60
Pull	Dumbbell Rows	12	64
Pull	Dumbbell Rows	12	64
Pull	Hammer Curls	12	28
Pull	Hammer Curls	12	28
Pull	Hammer Curls	10	28
Pull	Hammer Curls	6	32
Pull	Preacher Curls	8	32.5
Pull	Preacher Curls	8	32.5
Pull	Preacher Curls	8	35
Pull	Preacher Curls	7	35
