Workout	Exercise	Reps	Weight
push	flat chest dumbbells	12	44
push	flat chest dumbbells	12	48
push	flat chest dumbbells	9	52
push	flat chest dumbbells	7	52
push	incline chest dumbbells	12	40
push	incline chest dumbbells	11	44
push	incline chest dumbbells	7	48
push	incline chest dumbbells	7	48
push	shoulder press	12	28
push	shoulder press	9	28
push	shoulder press	6	32
push	shoulder press	7	32
push	skull crushers	12	22.5
push	skull crushers	12	22.5
push	skull crushers	10	25
push	skull crushers	9	25
push	dumbbell flys	12	32
push	dumbbell flys	9	32
push	dumbbell flys	9	32
push	dumbbell flys	8	32
push	tricep push downs	12	23
push	tricep push downs	12	23
push	tricep push downs	12	27
push	shrugs	12	52
push	shrugs	12	56
push	shrugs	12	60
