Workout	Exercise	Reps	Weight
Push	Flat Chest Dumbbells	12	44
Push	Flat Chest Dumbbells	12	48
Push	Flat Chest Dumbbells	8	52
Push	Flat Chest Dumbbells	7	52
Push	Incline Chest Dumbbells	12	40
Push	Incline Chest Dumbbells	9	44
Push	Incline Chest Dumbbells	6	48
Push	Incline Chest Dumbbells	6	48
Push	Shoulder Press	12	28
Push	Shoulder Press	9	28
Push	Shoulder Press	6	32
Push	Shoulder Press	7	32
Push	Skull Crushers	12	22.5
Push	Skull Crushers	12	22.5
Push	Skull Crushers	9	25
Push	Skull Crushers	8	25
Push	Dumbbell Flys	8	32
Push	Dumbbell Flys	8	32
Push	Dumbbell Flys	8	32
Push	Dumbbell Flys	8	32
Push	Tricep Push Downs	12	23
Push	Tricep Push Downs	12	23
Push	Tricep Push Downs	10	27
Push	Shrugs	12	52
Push	Shrugs	12	56
Push	Shrugs	12	60
