Workout	Exercise	Reps	Weight
Back and biceps	Pull-ups	4	n/a
Back and biceps	Pull-ups	4	n/a
Back and biceps	Pull-ups	4	n/a
Back and biceps	Deadlifts	12	60
Back and biceps	Deadlifts	12	65
Back and biceps	Deadlifts	12	70
Back and biceps	Deadlifts	10	75
Back and biceps	V-bar Pull Downs	12	52
Back and biceps	V-bar Pull Downs	12	59
Back and biceps	V-bar Pull Downs	10	66
Back and biceps	Pull downs	12	52
Back and biceps	Pull downs	8	59
Back and biceps	Pull downs	7	66
Back and biceps	Dumbbell Rows	12	60
Back and biceps	Dumbbell Rows	12	64
Back and biceps	Dumbbell Rows	12	68
Back and biceps	Hammer Curls	12	28
Back and biceps	Hammer Curls	12	28
Back and biceps	Hammer Curls	8	32
Back and biceps	Hammer Curls	8	32
Back and biceps	Hammer Curls	7	32
Back and biceps	Preacher Curls	12	32.5
Back and biceps	Preacher Curls	12	35
Back and biceps	Preacher Curls	12	35
Back and biceps	Preacher Curls	10	37.5
Back and biceps	Preacher Curls	8	37.5
