Workout	Exercise	Reps	Weight
chest, shoulders, triceps and abs	flat chest dumbbells	12	44
chest, shoulders, triceps and abs	flat chest dumbbells	12	48
chest, shoulders, triceps and abs	flat chest dumbbells	9	52
chest, shoulders, triceps and abs	flat chest dumbbells	7	56
chest, shoulders, triceps and abs	incline chest dumbbells	12	40
chest, shoulders, triceps and abs	incline chest dumbbells	11	44
chest, shoulders, triceps and abs	incline chest dumbbells	7	48
chest, shoulders, triceps and abs	incline chest dumbbells	4	52
chest, shoulders, triceps and abs	shoulder press	12	28
chest, shoulders, triceps and abs	shoulder press	11	32
chest, shoulders, triceps and abs	shoulder press	7	36
chest, shoulders, triceps and abs	shoulder press	7	36
chest, shoulders, triceps and abs	dumbbell flys	10	36
chest, shoulders, triceps and abs	dumbbell flys	10	36
chest, shoulders, triceps and abs	close grip dumbbell press	8	36
chest, shoulders, triceps and abs	close grip dumbbell press	7	40
chest, shoulders, triceps and abs	close grip dumbbell press	4	44
chest, shoulders, triceps and abs	skull crushers	12	22.5
chest, shoulders, triceps and abs	skull crushers	12	25
chest, shoulders, triceps and abs	skull crushers	12	27.5
chest, shoulders, triceps and abs	tricep push downs	12	27
chest, shoulders, triceps and abs	tricep push downs	8	32
chest, shoulders, triceps and abs	hanging leg raise	6	n/a
chest, shoulders, triceps and abs	hanging leg raise	6	n/a
chest, shoulders, triceps and abs	hanging leg raise	6	n/a
chest, shoulders, triceps and abs	hanging leg raise	6	n/a
