Workout	Exercise	Reps	Weight
chest, shoulders and abs	flat chest dumbbells	12	44
chest, shoulders and abs	flat chest dumbbells	12	52
chest, shoulders and abs	flat chest dumbbells	7	56
chest, shoulders and abs	flat chest dumbbells	5	60
chest, shoulders and abs	incline chest dumbbells	12	40
chest, shoulders and abs	incline chest dumbbells	12	44
chest, shoulders and abs	incline chest dumbbells	9	48
chest, shoulders and abs	incline chest dumbbells	7	52
chest, shoulders and abs	dumbbell flys	12	36
chest, shoulders and abs	dumbbell flys	8	40
chest, shoulders and abs	shoulder press	12	28
chest, shoulders and abs	shoulder press	9	32
chest, shoulders and abs	shoulder press	7	36
chest, shoulders and abs	shoulder press	6	36
chest, shoulders and abs	dumbbell shoulder flys	12	24
chest, shoulders and abs	dumbbell shoulder flys	12	28
chest, shoulders and abs	dumbbell shoulder flys	11	32
chest, shoulders and abs	dumbbell front raise	12	20
chest, shoulders and abs	dumbbell front raise	11	24
chest, shoulders and abs	dumbbell front raise	10	28
chest, shoulders and abs	planks	n/a	n/a
chest, shoulders and abs	planks	n/a	n/a
chest, shoulders and abs	hanging leg raise	8	n/a
chest, shoulders and abs	hanging leg raise	8	n/a
chest, shoulders and abs	hanging leg raise	8	n/a
