Workout	Exercise	Reps	Weight
back and biceps	pull-ups	4	n/a
back and biceps	pull-ups	4	n/a
back and biceps	pull-ups	4	n/a
back and biceps	deadlifts	12	60
back and biceps	deadlifts	12	65
back and biceps	deadlifts	12	70
back and biceps	deadlifts	12	75
back and biceps	pull downs	12	52
back and biceps	pull downs	11	59
back and biceps	pull downs	5	66
back and biceps	v-bar pull downs	12	52
back and biceps	v-bar pull downs	8	59
back and biceps	v-bar pull downs	5	66
back and biceps	dumbbell rows	12	60
back and biceps	dumbbell rows	12	64
back and biceps	dumbbell rows	12	68
back and biceps	hammer curls	12	28
back and biceps	hammer curls	12	28
back and biceps	hammer curls	10	32
back and biceps	hammer curls	10	32
back and biceps	hammer curls	8	32
back and biceps	preacher curls	12	32.5
back and biceps	preacher curls	12	35
back and biceps	preacher curls	12	35
back and biceps	preacher curls	10	37.5
back and biceps	preacher curls	9	37.5
