Workout	Exercise	Reps	Weight
pull	pull-ups	3	n/a
pull	pull-ups	3	n/a
pull	pull-ups	3	n/a
pull	pull-ups	3	n/a
pull	deadlifts	12	60
pull	deadlifts	12	60
pull	deadlifts	12	65
pull	deadlifts	12	70
pull	pull downs	12	52
pull	pull downs	12	59
pull	pull downs	10	59
pull	pull downs	9	59
pull	v-bar pull downs	12	52
pull	v-bar pull downs	9	59
pull	v-bar pull downs	10	59
pull	v-bar pull downs	8	59
pull	dumbbell rows	12	52
pull	dumbbell rows	12	60
pull	dumbbell rows	12	64
pull	dumbbell rows	12	64
pull	hammer curls	12	28
pull	hammer curls	12	28
pull	hammer curls	11	28
pull	hammer curls	7	32
pull	preacher curls	12	32.5
pull	preacher curls	12	32.5
pull	preacher curls	10	35
pull	preacher curls	12	35
