Workout	Exercise	Reps	Weight
chest, shoulders and abs	flat chest dumbbells	12	44
chest, shoulders and abs	flat chest dumbbells	12	52
chest, shoulders and abs	flat chest dumbbells	11	56
chest, shoulders and abs	flat chest dumbbells	5	60
chest, shoulders and abs	incline chest dumbbells	12	40
chest, shoulders and abs	incline chest dumbbells	12	44
chest, shoulders and abs	incline chest dumbbells	10	48
chest, shoulders and abs	incline chest dumbbells	8	52
chest, shoulders and abs	dumbbell flys	12	36
chest, shoulders and abs	dumbbell flys	12	40
chest, shoulders and abs	shoulder press	12	28
chest, shoulders and abs	shoulder press	11	32
chest, shoulders and abs	shoulder press	8	36
chest, shoulders and abs	shoulder press	6	36
chest, shoulders and abs	dumbbell shoulder flys	12	24
chest, shoulders and abs	dumbbell shoulder flys	12	28
chest, shoulders and abs	dumbbell shoulder flys	12	32
chest, shoulders and abs	dumbbell front raise	12	20
chest, shoulders and abs	dumbbell front raise	12	24
chest, shoulders and abs	dumbbell front raise	12	28
chest, shoulders and abs	planks	n/a	n/a
chest, shoulders and abs	planks	n/a	n/a
chest, shoulders and abs	hanging leg raise	8	n/a
chest, shoulders and abs	hanging leg raise	8	n/a
chest, shoulders and abs	hanging leg raise	8	n/a
