Workout	Exercise	Reps	Weight
chest, shoulders, triceps and abs	flat chest dumbbells	12	44
chest, shoulders, triceps and abs	flat chest dumbbells	12	52
chest, shoulders, triceps and abs	flat chest dumbbells	8	56
chest, shoulders, triceps and abs	flat chest dumbbells	5	60
chest, shoulders, triceps and abs	incline chest dumbbells	12	40
chest, shoulders, triceps and abs	incline chest dumbbells	12	44
chest, shoulders, triceps and abs	incline chest dumbbells	9	48
chest, shoulders, triceps and abs	incline chest dumbbells	8	52
chest, shoulders, triceps and abs	dumbbell flys	12	36
chest, shoulders, triceps and abs	dumbbell flys	9	40
chest, shoulders, triceps and abs	shoulder press	12	28
chest, shoulders, triceps and abs	shoulder press	9	32
chest, shoulders, triceps and abs	shoulder press	7	36
chest, shoulders, triceps and abs	shoulder press	6	36
chest, shoulders, triceps and abs	close grip dumbbell press	12	36
chest, shoulders, triceps and abs	close grip dumbbell press	8	40
chest, shoulders, triceps and abs	close grip dumbbell press	5	44
chest, shoulders, triceps and abs	skull crushers	12	25
chest, shoulders, triceps and abs	skull crushers	12	27.5
chest, shoulders, triceps and abs	skull crushers	7	30
chest, shoulders, triceps and abs	tricep push downs	12	32
chest, shoulders, triceps and abs	tricep push downs	10	36
chest, shoulders, triceps and abs	hanging leg raise	8	n/a
chest, shoulders, triceps and abs	hanging leg raise	8	n/a
chest, shoulders, triceps and abs	hanging leg raise	8	n/a
chest, shoulders, triceps and abs	hanging leg raise	8	n/a
