Workout	Exercise	Reps	Weight
Legs	Cycle	1	n/a
Legs	Squats	12	20
Legs	Squats	12	60
Legs	Squats	12	65
Legs	Squats	12	70
Legs	Squats	12	70
Legs	Leg Press	20	100
Legs	Leg Press	20	110
Legs	Leg Press	20	120
Legs	Leg Press	20	130
Legs	Leg Press	20	140
Legs	Leg Press	20	150
Legs	Seated Leg Curls	12	39
Legs	Seated Leg Curls	12	45
Legs	Seated Leg Curls	9	52
Legs	Seated Leg Curls	9	52
Legs	Leg Extensions	12	39
Legs	Leg Extensions	12	52
Legs	Leg Extensions	12	59
Legs	Leg Extensions	12	59
Legs	Hip Abductor	12	52
Legs	Hip Abductor	12	59
Legs	Hip Abductor	10	66
Legs	Hip Abductor	10	66
Legs	Lying Leg Curls	12	36
Legs	Lying Leg Curls	12	41
Legs	Lying Leg Curls	8	45
Legs	Lying Leg Curls	7	50
