Workout	Exercise	Reps	Weight
back and biceps	pull-ups	6	n/a
back and biceps	pull-ups	6	n/a
back and biceps	pull-ups	6	n/a
back and biceps	deadlifts	12	60
back and biceps	deadlifts	12	70
back and biceps	deadlifts	12	75
back and biceps	deadlifts	10	80
back and biceps	pull downs	12	52
back and biceps	pull downs	12	59
back and biceps	pull downs	8	66
back and biceps	v-bar pull downs	12	52
back and biceps	v-bar pull downs	10	59
back and biceps	v-bar pull downs	7	66
back and biceps	dumbbell rows	12	60
back and biceps	dumbbell rows	12	68
back and biceps	dumbbell rows	9	72
back and biceps	hammer curls	12	28
back and biceps	hammer curls	12	28
back and biceps	hammer curls	11	32
back and biceps	hammer curls	10	32
back and biceps	hammer curls	6	36
back and biceps	preacher curls	12	35
back and biceps	preacher curls	12	37.5
back and biceps	preacher curls	12	37.5
back and biceps	preacher curls	12	40
back and biceps	preacher curls	8	40
